#,Purity,Orthodoxy,Grade,Background,Stream
94,-0.511627906976744,0.546989495400636,Grade 11,Mixed,MaCS
95,-0.237209302325581,0.822233509197241,Grade 12,East Asian,Academic
96,0.032558139534884,0.873613925131687,Grade 9,South Asian,MaCS
97,-0.055813953488372,0.825811116747696,Grade 12,Caucasian,Academic
98,0.395348837209302,0.613960302096557,Grade 10,Jewish,MaCS
99,0.153488372093023,0.833004437703769,Grade 10,Caucasian,MaCS
100,0.334883720930233,0.75084769860528,Grade 11,Korean,Gifted
101,0.041860465116279,0.844940452799719,Grade 11,South Asian,Gifted
102,0.037209302325581,0.889766182713994,Grade 12,Jewish,MaCS
103,-0.037209302325581,-0.037828398388189,Grade 11,Filipino,Academic
104,-0.283720930232558,0.828589104592154,Grade 11,Mixed,Academic
105,0.176744186046512,0.858564432793007,Grade 12,Other,Academic
106,0.158139534883721,0.706851069478912,Grade 12,Middle Eastern,Academic
107,0.041860465116279,0.81199930547211,Grade 12,Caucasian,Academic
108,-0.227906976744186,0.625100681222108,Grade 10,Middle Eastern,MaCS
109,0.009302325581395,0.892695147650193,Grade 9,East Asian,MaCS
110,0.237209302325581,0.790636772163483,Grade 9,Jewish,MaCS
111,0.855813953488372,-0.021671494302007,Grade 11,South Asian,Academic
112,-0.255813953488372,0.888676363696763,Grade 12,Chinese,MaCS
113,0.144186046511628,0.332646978063085,Grade 11,Other,MaCS
114,0.274418604651163,0.743738002381,Grade 9,Other,MaCS
115,-0.334883720930233,0.65544961631045,Other,Other,Other
116,-0.344186046511628,0.80198108477503,Grade 10,Jewish,MaCS
117,0.130232558139535,0.829697794536667,Grade 11,Mixed,MaCS
118,-0.534883720930233,0.631029364215954,Grade 9,Chinese,Gifted
119,0.4,0.627243325464437,Grade 11,Middle Eastern,Academic
120,0.148837209302326,0.220782588429796,Grade 12,Caucasian,MaCS
121,-0.172093023255814,0.830394261009717,Grade 10,Mixed,MaCS
122,0.32093023255814,0.771960567187128,Grade 12,Filipino,Academic
123,-0.041860465116279,0.815737603993383,Grade 10,East Asian,MaCS
124,0.209302325581395,0.793731286895398,Grade 12,Other,MaCS
125,-0.06046511627907,0.403998756591598,Grade 9,Other,MaCS
126,0.213953488372093,0.80348687560265,Grade 11,Caucasian,MaCS
127,-0.013953488372093,0.810050177435964,Grade 12,Mixed,MaCS
128,-0.018604651162791,0.893975099857331,Grade 10,South Asian,MaCS
129,0.255813953488372,0.452099813918216,Grade 10,Korean,MaCS
130,0.232558139534884,0.31299079520933,Grade 10,South Asian,MaCS
131,0.190697674418605,0.825000020828734,Grade 11,Other,Academic
132,0.409302325581395,0.701699006564094,Grade 10,Filipino,Academic
133,-0.162790697674419,0.733212375728205,Grade 9,East Asian,Gifted
134,0.111627906976744,0.723944111597426,Grade 11,Caucasian,MaCS
135,-0.037209302325581,0.770014952033868,Grade 12,Other,Other
136,-0.074418604651163,0.859815039981648,Grade 10,Korean,Gifted
137,0.26046511627907,0.836325838717076,Grade 11,Caucasian,MaCS
138,0.446511627906977,0.564659141413761,Grade 11,South Asian,MaCS
139,0.227906976744186,0.56602120317645,Grade 11,Vietnamese,Gifted
140,0.018604651162791,0.786155301050059,Grade 12,South Asian,MaCS
